
(((1.488132302d9 100) (1.48813230201d9 -100) (1.48813230202d9 100)
  (1.48813230203d9 -100) (1.48813230204d9 100) (1.48813230205d9 -100)
  (1.48813230206d9 100) (1.48813230207d9 -100) (1.48813230208d9 100)
  (1.48813230209d9 -100) (1.4881323021d9 100) (1.48813230211d9 -100)
  (1.48813230212d9 100) (1.48813230213d9 -100) (1.48813230214d9 100)
  (1.48813230215d9 -100) (1.48813230216d9 100) (1.48813230217d9 -100)
  (1.48813230218d9 100) (1.48813230219d9 -100) (1.48813230228d9 3.24d0)
  (1.48813230231d9 0.98d0) (1.48813230238d9 3.1d0) (1.48813230265d9 -1.96d0)
  (1.48813230268d9 0.08d0) (1.48813230275d9 -3.5d0) (1.48813230287d9 -0.27d0)
  (1.4881323032d9 -6.94d0) (1.48813230327d9 -4.24d0) (1.48813230368d9 -8.78d0)
  (1.48813230425d9 5.74d0) (1.48813230434d9 2.49d0) (1.48813230595d9 28.54d0)
  (1.48813230603d9 24.11d0) (1.4881323064d9 28.32d0) (1.48813230671d9 23.43d0)
  (1.48813230698d9 29.76d0) (1.48813230721d9 23.39d0) (1.4881323073d9 27.6d0)
  (1.48813230745d9 22.86d0) (1.48813230764d9 26.77d0) (1.48813230793d9 19.69d0)
  (1.48813230808d9 24.29d0) (1.4881323082d9 20.48d0) (1.48813230826d9 24.5d0)
  (1.48813230842d9 20.59d0) (1.48813230854d9 25.16d0) (1.48813230877d9 19.67d0)
  (1.48813230891d9 22.22d0) (1.48813230906d9 19.69d0) (1.48813230911d9 21.78d0)
  (1.48813230927d9 16.68d0) (1.4881323094d9 21.52d0) (1.48813230971d9 18.47d0)
  (1.48813231d9 26.51d0) (1.48813231004d9 24.47d0) (1.48813231008d9 27.43d0)
  (1.48813231032d9 23.77d0) (1.48813231083d9 37.13d0) (1.48813231088d9 34.88d0)
  (1.48813231097d9 37.17d0) (1.4881323111d9 33.71d0) (1.48813231119d9 37.87d0)
  (1.48813231125d9 35.42d0) (1.4881323118d9 41.28d0) (1.4881323122d9 34.0d0)
  (1.48813231241d9 36.77d0) (1.48813231252d9 32.94d0) (1.48813231264d9 35.4d0)
  (1.48813231269d9 32.61d0) (1.48813231279d9 35.49d0) (1.48813231297d9 32.41d0)
  (1.48813231322d9 38.12d0) (1.48813231349d9 31.03d0) (1.4881323137d9 38.86d0)
  (1.48813231381d9 35.88d0) (1.48813231385d9 38.09d0) (1.48813231409d9 33.29d0)
  (1.48813231422d9 37.25d0) (1.48813231425d9 34.5d0) (1.48813231445d9 39.98d0)
  (1.48813231462d9 34.76d0) (1.48813231475d9 37.67d0) (1.4881323148d9 34.34d0)
  (1.48813231489d9 36.78d0) (1.48813231507d9 32.99d0) (1.48813231536d9 38.73d0)
  (1.4881323155d9 36.07d0) (1.48813231554d9 38.21d0) (1.48813231558d9 35.52d0)
  (1.48813231569d9 39.38d0) (1.48813231576d9 36.64d0) (1.48813231583d9 39.02d0)
  (1.48813231608d9 34.66d0) (1.48813231631d9 40.49d0) (1.48813231637d9 36.81d0)
  (1.48813231663d9 42.88d0) (1.48813231678d9 38.76d0) (1.48813231692d9 43.13d0)
  (1.48813231707d9 40.23d0) (1.48813231754d9 46.31d0) (1.48813231775d9 43.33d0)
  (1.48813231852d9 49.38d0) (1.48813231867d9 46.23d0) (1.48813231892d9 53.82d0)
  (1.48813231905d9 49.94d0) (1.4881323191d9 52.11d0) (1.48813231938d9 46.42d0)
  (1.48813231948d9 49.45d0) (1.48813231962d9 45.94d0) (1.48813231979d9 50.09d0)
  (1.48813231986d9 47.25d0) (1.48813232035d9 55.1d0) (1.48813232049d9 48.77d0)
  (1.48813232058d9 51.89d0) (1.4881323207d9 48.86d0) (1.48813232082d9 52.31d0)
  (1.48813232095d9 48.63d0) (1.488132321d9 51.56d0) (1.48813232128d9 47.52d0)
  (1.48813232142d9 51.86d0) (1.48813232158d9 49.5d0) (1.4881323217d9 54.14d0)
  (1.48813232193d9 47.98d0) (1.4881323222d9 100) (1.48813232221d9 -100)
  (1.48813232222d9 100) (1.48813232223d9 -100) (1.48813232224d9 100)
  (1.48813232225d9 -100) (1.48813232226d9 100) (1.48813232227d9 -100)
  (1.48813232228d9 100) (1.48813232229d9 -100) (1.4881323223d9 100)
  (1.48813232231d9 -100) (1.48813232232d9 100) (1.48813232233d9 -100)
  (1.48813232234d9 100) (1.48813232235d9 -100) (1.48813232236d9 100)
  (1.48813232237d9 -100) (1.48813232238d9 100))
 ((1.488132302d9 100) (1.48813230201d9 -100) (1.48813230202d9 100)
