tn;Middelhavet
tn;dz
tn;ly
dz;Middelhavet
dz;ma
dz;eh
dz;mr
dz;ml
dz;ne
dz;ly
dz;tn
ma;Ceuta
ma;Atlanterhavet
ma;eh
ma;dz
ma;Middelhavet
ma;Melilla
ma;Middelhavet
eh;ma
eh;Atlanterhavet
eh;mr
eh;dz
mr;eh
mr;Atlanterhavet
mr;sg
mr;ml
mr;dz
sn;mr
sn;Atlanterhavet
sn;gm
sn;Atlanterhavet
sn;gw
sn;gn
sn;ml
gm;sn
gm;Atlanterhavet
gw;sn
gw;Atlanterhavet
gw;gn
gn;gw
gn;Atlanterhavet
gn;sl
gn;lr
gn;ci
gn;ml
gn;sn
sl;gn
sl;Atlanterhavet
sl;lr
lr;gn
lr;sl
lr;Atlanterhavet
lr;ci
ci;gn
ci;lr
ci;Atlanterhavet
ci;gh
ci;bf
ci;ml
gh;bf
gh;ci
gh;Atlanterhavet
gh;tg
tg;bf
tg;gh
tg;Atlanterhavet
tg;bj
bj;ne
bj;bf
bj;tg
bj;Atlanterhavet
bj;ng
ng;ne
ng;bj
ng;Atlanterhavet
ng;cm
ng;td
cm;td
cm;ng
cm;Atlanterhavet
cm;gq
cm;ga
cm;cg
cm;cf
gq;Atlanterhavet
gq;ga
gq;cm
ga;gq
ga;Atlanterhavet
ga;cg
ga;cm
cg;cf
cg;cm
cg;ga
cg;Atlanterhavet
cg;ao1
cg;cd
ao1;cg
ao1;Atlanterhavet
ao1;cd
ao2;cd
ao2;Atlanterhavet
ao2;na
ao2;zm
cd;cf
cd;cg
cd;ao1
cd;Atlanterhavet
cd;ao2
cd;zm
cd;tz
cd;bi
cd;rw
cd;ug
cd;sd
na;ao2
na;Atlanterhavet
na;za
na;bw
na;zm
za;zw
za;bw
za;na
za;Atlanterhavet
za;Indiske hav
za;mz
za;sz
za;ls
mz;tz
mz;mw
mz;zm
mz;zw
mz;zu
mz;sz
mz;Indiske hav
tz;ug
tz;rw
tz;bi
tz;cd
tz;zm
tz;mw
tz;mz
tz;Indiske hav
tz;ke
ke;sd
ke;ug
ke;tz
ke;Indiske hav
ke;so
ke;et
so;dj
so;et
so;ke
so;Indiske hav
dj;er
dj;et
dj;so
dj;Indiske hav
dj;rh
er;sd
er;et
er;dj
er;rh
sd;rh
sd;eg
sd;ly
sd;td
sd;cf
sd;cd
sd;ug
sd;ke
sd;et
sd;er
eg;ly
eg;sd
eg;rh
eg;jo
eg;il
eg;Middelhavet
ly;tn
ly;dz
ly;ne
ly;td
ly;sd
ly;eg
ly;Middelhavet
ml;mr
ml;se
ml;gn
ml;ci
ml;bf
ml;ne
ml;dz
bf;al
bf;ci
bf;gh
bf;tg
bf;bj
bf;ne
ne;dz
ne;ml
ne;bf
ne;bj
ne;ng
ne;td
ne;ly
td;ly
td;ne
td;ng
td;cm
td;cf
td;sd
cf;td
cf;cm
cf;cg
cf;cd
cf;sd
ug;sd
ug;cd
ug;rw
ug;tz
ug;ke
rw;ug
rw;cd
rw;bu
rw;bi
rw;tz
bi;rw
bi;cd
bi;tz
zm;cd
zm;ao2
zm;na
zm;bw
zm;zw
zm;mq
zm;mw
zm;tz
mw;zm
mw;mq
mw;tz
zw;zm
zw;bw
zw;za
zw;mq
bw;na
bw;za
bw;zw
bw;zm
sz;za
sz;mq
ls;za
mg;Indiske hav
km;Indiske hav
sc;Indiske hav
st;Atlanterhavet
mu;Indiske hav
cv;Atlanterhavet
et;er
et;sd
et;ke
et;so
et;dj
